time,windspeed
2011-01-29,4.0
2011-01-30,18.8
2011-01-31,11.4
2011-02-01,11.3
2011-02-02,10.7
2011-02-03,0.2
2011-02-04,32.8
2011-02-05,50.4
2011-02-06,38.2
2011-02-08,0.0
2011-02-09,41.8
2011-02-10,0.5
2011-02-12,0.2
2011-02-13,4.6
2011-02-14,7.5
2011-02-15,0.0
2011-02-16,0.0
2011-02-17,0.0
2011-02-18,70.4
2011-02-19,0.2
2011-02-20,7.5
2011-02-21,13.0
2011-02-22,91.0
2011-02-24,0.7
2011-02-25,3.5
2011-02-27,0.4
2011-03-02,10.9
2011-03-03,0.0
2011-03-04,0.3
2011-03-05,0.0
2011-03-10,21.5
2011-03-11,0.0
2011-03-13,1.0
2011-03-14,0.0
2011-03-15,0.0
2011-03-16,16.4
2011-03-18,4.4
2011-03-20,35.0
2011-03-21,66.3
2011-03-22,0.0
2011-03-23,2.2
2011-03-24,28.2
2011-03-25,18.7
2011-03-26,3.5
2011-03-27,1.2
2011-03-28,3.8
2011-03-29,1.7
2011-03-30,4.2
2011-03-31,6.9
2011-04-01,14.5
2011-04-02,1.9
2011-04-03,9.1
2011-04-04,0.0
2011-04-07,8.5
2011-04-08,0.0
2011-04-09,15.8
2011-04-10,6.3
2011-04-11,0.0
2011-04-12,1.4
2011-04-13,2.8
2011-04-14,0.6
2011-04-15,0.0
2011-04-16,17.8
2011-04-17,32.0
2011-04-19,7.6
2011-04-20,0.7
2011-04-21,31.0
2011-04-22,12.1
2011-04-23,6.5
2011-04-24,0.0
2011-04-25,0.0
2011-04-26,6.5
2011-04-27,14.2
2011-04-29,8.0
2011-04-30,0.0
2011-05-01,2.8
2011-05-02,40.0
2011-05-03,9.9
2011-05-04,2.5
2011-05-05,3.6
2011-05-06,0.0
2011-05-08,11.2
2011-05-11,26.0
2011-05-13,16.4
2011-05-14,0.0
2011-05-15,17.0
2011-05-16,11.0
2011-05-17,9.5
2011-05-18,22.5
2011-05-19,0.0
2011-05-20,45.5
2011-05-21,0.0
2011-05-22,92.0
2011-05-23,34.2
2011-05-24,8.0
2011-05-25,0.8
2011-05-27,1.4
2011-05-28,1.0
2011-05-30,0.3
2011-05-31,1.4
2011-06-01,1.5
2011-06-02,11.0
2011-06-03,5.7
2011-06-04,1.9
2011-06-06,3.2
2011-06-07,2.9
2011-06-08,0.6
2011-06-09,9.5
2011-06-10,0.3
2011-06-11,18.2
2011-06-12,2.3
2011-06-13,0.3
2011-06-14,1.0
2011-06-16,34.8
2011-06-18,0.0
2011-06-19,0.9
2011-06-20,0.0
2011-06-21,22.2
2011-06-22,0.0
2011-06-23,0.3
2011-06-25,1.4
2011-06-27,15.6
2011-06-28,1.5
2011-06-29,4.5
2011-07-02,16.3
2011-07-03,1.1
2011-07-04,0.0
2011-07-05,0.0
2011-07-06,0.0
2011-07-09,0.0
2011-07-10,0.0
2011-07-11,1.5
2011-07-19,0.0
2011-07-20,0.0
2011-07-21,3.0
2011-07-22,0.0
2011-07-23,1.5
2011-07-24,3.5
2011-08-02,0.0
2011-08-04,1.0
2011-08-06,0.0
2011-08-07,0.0
2011-08-10,1.7
2011-08-11,3.0
2011-08-12,13.5
2011-08-18,3.9
2011-08-22,0.0
2011-08-23,0.0
2011-08-26,0.0
2011-08-28,0.0
2011-08-30,5.7
2011-08-31,14.4
2011-09-02,24.2
2011-09-04,0.0
2011-09-05,18.0
2011-09-08,1.4
2011-09-09,0.0
2011-09-10,12.4
2011-09-12,0.2
2011-09-13,3.5
2011-09-14,53.7
2011-09-15,2.1
2011-09-16,25.0
2011-09-17,7.8
2011-09-19,5.2
2011-09-21,20.0
2011-09-22,2.5
2011-09-23,1.6
2011-09-29,3.2
2011-09-30,36.0
2011-10-01,0.0
2011-10-02,7.1
2011-10-03,4.5
2011-10-04,0.8
2011-10-05,6.2
2011-10-06,4.9
2011-10-07,4.5
2011-10-08,3.3
2011-10-11,18.4
2011-10-12,9.6
2011-10-15,0.0
2011-10-16,15.4
2011-10-18,1.8
2011-10-19,4.0
2011-10-20,11.4
2011-10-21,3.4
2011-10-22,0.7
2011-10-23,1.5
2011-10-24,0.0
2011-10-25,0.5
2011-10-26,4.2
