time,windspeed
2011-01-02,0.0
2011-01-03,0.0
2011-01-04,0.3
2011-01-05,9.5
2011-01-09,3.0
2011-01-10,4.0
2011-01-12,2.9
2011-01-13,8.7
2011-01-14,2.5
2011-01-15,13.5
2011-01-17,3.0
2011-01-19,26.5
2011-01-20,0.3
2011-01-23,1.5
2011-01-24,18.0
2011-01-25,0.1
2011-01-26,40.5
2011-01-27,31.6
2011-01-28,3.5
2011-01-29,0.0
2011-01-30,44.5
2011-01-31,31.1
2011-02-01,45.6
2011-02-02,56.6
2011-02-03,1.6
2011-02-04,37.6
2011-02-05,1.0
2011-02-06,23.5
2011-02-08,6.0
2011-02-09,0.6
2011-02-11,9.8
2011-02-12,10.0
2011-02-13,40.3
2011-02-14,33.0
2011-02-16,3.5
2011-02-17,44.9
2011-02-18,50.6
2011-02-21,2.5
2011-02-22,142.3
2011-02-23,0.0
2011-02-24,3.2
2011-02-25,3.2
2011-02-27,2.1
2011-03-02,15.3
2011-03-03,73.8
2011-03-04,0.0
2011-03-06,28.5
2011-03-10,0.0
2011-03-12,18.9
2011-03-13,81.2
2011-03-14,31.6
2011-03-15,1.7
2011-03-16,9.2
2011-03-17,0.0
2011-03-18,5.5
2011-03-19,11.4
2011-03-20,5.5
2011-03-21,54.0
2011-03-23,18.7
2011-03-24,5.2
2011-03-25,104.7
2011-03-26,4.1
2011-03-27,17.6
2011-03-28,14.0
2011-03-29,0.0
2011-03-30,1.7
2011-03-31,1.3
2011-04-01,14.0
2011-04-02,2.5
2011-04-03,18.2
2011-04-04,2.5
2011-04-05,6.8
2011-04-07,19.0
2011-04-09,4.0
2011-04-10,13.2
2011-04-11,8.8
2011-04-12,6.4
2011-04-13,1.7
2011-04-14,3.3
2011-04-15,0.0
2011-04-16,0.0
2011-04-18,1.2
2011-04-19,0.0
2011-04-20,40.0
2011-04-21,1.4
2011-04-22,1.0
2011-04-23,1.5
2011-04-24,0.5
2011-04-26,5.0
2011-04-27,32.2
